landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
/archives/2449,2,0,2,,2,0,2,,2,0,2,,0,0,0,,3.7018215,0,3.7,
/archives/2496,2,0,2,,2,0,2,,2,0,2,,1,0,1,,9.00796,0,9.01,
/archives/2544,2,3,-1,-33.33%,2,2,0,0%,3,3,0,0%,1,2,-1,-50%,140.364351,26.409452,113.95,431.49%
/archives/2553,2,2,0,0%,2,2,0,0%,2,2,0,0%,0,1,-1,-100%,1.938788,905.3991475,-903.46,-99.79%
/archives/2655,2,1,1,100%,2,1,1,100%,2,1,1,100%,0,0,0,,2.9542445,4.904497,-1.95,-39.76%
/archives/2740,2,5,-3,-60%,2,4,-2,-50%,2,5,-3,-60%,0,2,-2,-100%,4.413481,219.6938118,-215.28,-97.99%
/archives/2742,2,0,2,,2,0,2,,2,0,2,,1,0,1,,35.877106,0,35.88,
/archives/2948,2,0,2,,2,0,2,,2,0,2,,1,0,1,,13.952742,0,13.95,
/archives/2994,2,1,1,100%,2,1,1,100%,2,1,1,100%,1,0,1,,198.7934625,8.430548,190.36,2258.01%
/archives/3109,2,0,2,,2,0,2,,3,0,3,,1,0,1,,924.37202,0,924.37,
/archives/3220,2,0,2,,2,0,2,,2,0,2,,1,0,1,,6.4946405,0,6.49,
/archives/3262,2,0,2,,2,0,2,,2,0,2,,0,0,0,,0,0,0,
/archives/3304,2,0,2,,2,0,2,,2,0,2,,2,0,2,,162.585713,0,162.59,
/archives/3340,2,1,1,100%,2,1,1,100%,2,1,1,100%,0,0,0,,4.920079,4.821274,0.1,2.05%
/archives/3346,2,2,0,0%,2,2,0,0%,2,2,0,0%,2,1,1,100%,36.7660625,8.739558,28.03,320.69%
/archives/3502,2,0,2,,2,0,2,,2,0,2,,0,0,0,,0,0,0,
/archives/365,2,3,-1,-33.33%,2,2,0,0%,2,4,-2,-50%,0,3,-3,-100%,2.453911,488.7211856666667,-486.27,-99.5%
