landingPagePlusQueryString,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,averageSessionDuration_current,averageSessionDuration_previous,averageSessionDuration_delta,averageSessionDuration_delta_pct
/archives/654,3,0,3,,3,0,3,,3,0,3,,3,0,3,,61.20475066666666,0,61.2,
/archives/656,3,0,3,,3,0,3,,3,0,3,,1,0,1,,29.672962,0,29.67,
/archives/66,3,0,3,,3,0,3,,3,0,3,,0,0,0,,3.5143236666666664,0,3.51,
/archives/679,3,5,-2,-40%,2,5,-3,-60%,3,7,-4,-57.14%,0,3,-3,-100%,3.298421,119.72249099999999,-116.42,-97.24%
/archives/700,3,4,-1,-25%,3,4,-1,-25%,3,5,-2,-40%,1,3,-2,-66.67%,15.368854666666666,561.09552675,-545.73,-97.26%
/archives/711,3,2,1,50%,3,2,1,50%,3,2,1,50%,2,1,1,100%,89.09415466666667,86.2286365,2.87,3.32%
/archives/727,3,2,1,50%,3,2,1,50%,3,2,1,50%,0,2,-2,-100%,0,352.08569,-352.09,-100%
/archives/738,3,4,-1,-25%,3,4,-1,-25%,3,4,-1,-25%,0,0,0,,4.791451333333334,4.08278,0.71,17.36%
/archives/tag/waf,3,0,3,,3,0,3,,3,0,3,,0,0,0,,1.7749726666666668,0,1.77,
/file-size-converter,3,0,3,,3,0,3,,3,0,3,,1,0,1,,5.9957080000000005,0,6,
/jp/tategaki-editor,3,0,3,,3,0,3,,4,0,4,,1,0,1,,14.366822666666666,0,14.37,
/jp/text-cleaner,3,0,3,,3,0,3,,3,0,3,,1,0,1,,8.821528666666667,0,8.82,
/pitch-viewer,3,0,3,,3,0,3,,3,0,3,,0,0,0,,4.313951666666667,0,4.31,
/archives/1016,2,0,2,,2,0,2,,2,0,2,,0,0,0,,1.9268025,0,1.93,
/archives/1132,2,0,2,,2,0,2,,2,0,2,,1,0,1,,147.687799,0,147.69,
/archives/146,2,0,2,,2,0,2,,2,0,2,,2,0,2,,14.9128935,0,14.91,
/archives/152,2,2,0,0%,2,2,0,0%,3,2,1,50%,2,1,1,100%,161.7798015,9.685776,152.09,1570.28%
/archives/192,2,0,2,,2,0,2,,3,0,3,,1,0,1,,28.4069625,0,28.41,
/archives/197,2,9,-7,-77.78%,2,8,-6,-75%,5,9,-4,-44.44%,2,6,-4,-66.67%,1454.7886135,198.0001917777778,1256.79,634.74%
/archives/2356,2,1,1,100%,2,1,1,100%,2,1,1,100%,2,1,1,100%,486.4703045,34.893269,451.58,1294.17%
/archives/2381,2,2,0,0%,2,2,0,0%,2,3,-1,-33.33%,1,1,0,0%,24.3617865,75.7908,-51.43,-67.86%
/archives/2407,2,2,0,0%,2,1,1,100%,2,3,-1,-33.33%,2,1,1,100%,34.8223825,2.5407535,32.28,1270.55%
/archives/2800,2,2,0,0%,1,2,-1,-50%,2,2,0,0%,2,0,2,,51.651936,1.1452185,50.51,4410.23%
/archives/2835,2,1,1,100%,2,1,1,100%,2,1,1,100%,1,1,0,0%,51.0883325,649.024311,-597.94,-92.13%
/archives/2964,2,0,2,,2,0,2,,2,0,2,,1,0,1,,59.0960675,0,59.1,
/archives/3121,2,3,-1,-33.33%,2,3,-1,-33.33%,2,7,-5,-71.43%,2,3,-1,-33.33%,98.945173,248.91712933333335,-149.97,-60.25%
/archives/3186,2,4,-2,-50%,2,4,-2,-50%,3,6,-3,-50%,1,3,-2,-66.67%,126.7807925,234.30892575,-107.53,-45.89%
/archives/3232,2,1,1,100%,2,1,1,100%,1,1,0,0%,1,0,1,,7.761491,4.976428,2.79,55.97%
/archives/3344,2,4,-2,-50%,2,4,-2,-50%,2,4,-2,-50%,0,3,-3,-100%,0.627416,30.287995000000002,-29.66,-97.93%
/archives/3346,2,0,2,,2,0,2,,2,0,2,,1,0,1,,8.739558,0,8.74,
/archives/3404,2,0,2,,2,0,2,,3,0,3,,1,0,1,,4.336193,0,4.34,
/archives/3435,2,2,0,0%,2,2,0,0%,2,2,0,0%,1,0,1,,93.5670905,2.3869915,91.18,3819.88%
/archives/3461,2,0,2,,2,0,2,,2,0,2,,0,0,0,,0,0,0,
/archives/3483,2,2,0,0%,2,2,0,0%,2,2,0,0%,2,1,1,100%,33.467871,148.5971985,-115.13,-77.48%
/archives/3580,2,3,-1,-33.33%,2,3,-1,-33.33%,2,3,-1,-33.33%,0,2,-2,-100%,0,264.86645166666665,-264.87,-100%
/archives/3607,2,1,1,100%,2,1,1,100%,2,1,1,100%,1,1,0,0%,11.684832,684.066422,-672.38,-98.29%
/archives/365,2,0,2,,1,0,1,,3,0,3,,2,0,2,,713.954115,0,713.95,
